t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
65.8086,-29.8215,-10.4306,-194.7632,56.2744,-3.9379700657826646,0.9840354868750683,-3.747675657272339,0.6849631667137146
65.8186,-31.8485,-9.6561,-182.9224,69.2749,-3.645896285000888,0.8792108829510855,-3.421304702758789,0.6145136952400208
65.8286,-33.6997,-9.6561,-166.1987,69.2749,-3.4327719887979082,0.9450749126133711,-3.170288324356079,0.680684506893158
65.8386,-36.8802,-9.6561,-144.104,69.2749,-3.0072360222556065,1.0169303647373176,-2.6384947299957275,0.7446272373199463
65.8486,-36.8802,-8.9969,-144.104,61.8896,-3.028268570229327,1.05114363566996,-2.6972367763519287,0.7712690234184265
65.8586,-36.8802,-8.9969,-144.104,61.8896,-3.0498546795576913,1.0871944545279824,-2.7480640411376953,0.8164544701576233
65.8686,-40.0278,-8.5794,-147.1558,36.3159,-2.4316607132758223,1.2383201008985691,-2.060854434967041,0.9841983318328857
65.8786,-41.6043,-8.5794,-145.874,36.3159,-2.1827027042506177,1.1869124826609698,-1.9209131002426147,0.9666866064071655
65.8886,-43.1754,-8.4421,-148.3154,10.2539,-1.934352058590481,1.285880913184348,-1.7761491537094116,1.113423228263855
65.8986,-46.5427,-8.4915,-167.0532,-4.8218,-1.6589281865134926,1.2261038495965804,-1.7164356708526611,1.1269145011901855
65.9086,-48.2566,-8.6069,-168.7622,-8.667,-2.458928186513493,0.5337458512948737,-2.1808810234069824,0.39097002148628235
65.9186,-48.2566,-7.8763,-168.7622,45.105,-3.170167647498371,0.5364341583389429,-2.6739227771759033,0.30435818433761597
65.9286,-49.8221,-7.4313,-163.4521,44.5557,-2.579638744601387,0.579393752763245,-2.3721413612365723,0.4182981848716736
65.9386,-51.3657,-7.0303,-154.48,38.0249,-2.415949468345012,0.6276963881402357,-1.964812994003296,0.4938544034957886
65.9486,-52.7664,-6.7007,-139.2822,31.7383,-2.405636641519175,0.6713180685919379,-1.9493821859359741,0.5445054173469543
65.9586,-52.7664,-6.2833,-139.2822,21.5454,-2.536938092953949,0.7189184994824314,-2.3968236446380615,0.6000610589981079
65.9686,-55.8371,-6.2833,-85.6934,21.5454,-1.8098071928215727,0.6999454597597073,-1.8951607942581177,0.58989417552948
65.9786,-56.5348,-6.1075,-70.7397,16.8457,-1.662027430142641,0.703049024717754,-1.7465351819992065,0.6029956936836243
65.9886,-56.5348,-5.4648,-70.7397,26.2451,-1.651249259534928,0.5617529261918098,-1.7135753631591797,0.4586513936519623
65.9986,-56.5348,-4.8935,-70.7397,23.9258,-1.6273537058324234,0.5426734447408033,-1.6668543815612793,0.43647897243499756
66.0086,-57.0896,-4.8935,-54.2603,23.9258,-1.5221845896334287,0.5404466457757513,-1.5360689163208008,0.44002458453178406
66.0186,-57.7048,-4.7067,-13.6108,12.146,-1.527836074914322,0.6123212017551313,-1.4190462827682495,0.5244103670120239
66.0286,-57.6224,-4.6463,18.1885,3.8452,-0.727836074914322,0.6453273319491786,-0.6190462112426758,0.5728244781494141
66.0386,-56.4688,-4.2288,70.5566,28.7476,-0.033594814649198,0.3800046122322206,0.1809537559747696,0.29924631118774414
66.0486,-55.6229,-3.9212,80.5664,29.9683,0.6801050866804849,0.3724930199728054,0.7146456241607666,0.2760276198387146
66.0586,-55.6229,-3.2675,80.5664,26.9165,1.1262545352473752,0.383849055565473,0.9855402112007141,0.2807850241661072
66.0686,-54.6341,-3.2675,92.5903,26.9165,1.2916969525915896,0.3996159943235891,1.1593658924102783,0.30153924226760864
66.0786,-53.4915,-3.2675,105.4688,26.9165,1.4094576587527354,0.4217180884169479,1.3778120279312134,0.3148888349533081
66.0886,-52.2281,-3.2675,117.3096,26.9165,1.4908047409251521,0.4351644344886213,1.5891159772872925,0.32782962918281555
66.0986,-50.8328,-2.9764,133.7891,27.0996,1.5612532511395745,0.4317737647619161,1.7859598398208618,0.31327614188194275
66.1086,-47.3447,-2.7402,183.8379,24.0479,1.9902470034922826,0.4610097941301166,1.9114911556243896,0.3397841453552246
66.1186,-45.3617,-2.5589,189.209,21.8506,2.7749893663763667,0.4771107060362347,2.3344175815582275,0.3604450821876526
66.1286,-45.3617,-2.103,189.209,25.0854,3.038040439607841,0.4161120272978048,2.7241218090057373,0.31886985898017883
66.1386,-43.3731,-2.103,185.5469,25.0854,2.9839564310652196,0.42490354598268537,2.8285210132598877,0.334519624710083
