t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
144.2391,-5.5692,-51.0471,66.2231,-111.8164,1.463028477333929,-2.3827274762055604,1.4740524411201477,-2.215986728668213
144.2491,-5.5692,-51.0471,66.2231,-111.8164,1.475779530934865,-2.3877618799874645,1.482359564304352,-2.23673791885376
144.2591,-4.2069,-51.9864,72.876,-85.3271,1.2581147417060987,-2.3050660628271884,1.2728941559791564,-2.1120877265930176
144.2691,-3.5092,-51.9864,68.2373,-85.3271,1.245975391587415,-2.248067422739519,1.2600948214530945,-2.058678984642029
144.2791,-2.1359,-52.6346,47.8516,-56.4575,1.2500753178834922,-2.16583095902934,1.2605949759483337,-1.9640061020851136
144.2891,-2.1359,-52.6346,47.8516,-56.4575,1.2287581547809623,-2.0064531287941287,1.2381030797958374,-1.8372527241706849
144.2991,-1.68,-52.9916,52.5513,-28.1372,1.1269299279669969,-1.7976521808099448,1.1373068571090699,-1.7065900087356567
144.3117,-1.2461,-53.0411,47.3633,3.8452,1.1204937791687155,-1.2766877960959042,1.1319657802581786,-1.3786059379577638
144.3217,-0.488,-53.0411,36.9263,3.8452,1.0988489477072427,-0.8058390336008513,1.1114921927452088,-0.8675052762031555
144.3317,-0.1419,-51.459,36.499,76.1719,1.037808751253749,-0.00583903360085124,1.0482740938663482,-0.06750527285039425
144.3417,0.1877,-50.6131,33.6304,87.1582,1.001026343556926,0.7941609663991489,1.0105560421943665,0.7324947237968444
144.3517,0.1877,-48.4653,33.6304,120.6055,0.9770400032734704,1.5246933085620273,0.9837525844573974,1.4685981512069701
144.3617,0.1877,-47.07,33.6304,143.0664,0.9546049623562182,1.7707924154495522,0.9630911946296692,1.7478359460830688
144.3717,0.3415,-37.4515,-13.3057,162.8418,0.1546049623562181,1.5628105050789727,0.1630911909043789,1.5795106410980224
144.3817,-0.0815,-35.7651,-50.5981,174.4385,-0.6453950376437819,2.2222434020906507,-0.6369088053703308,2.2493010997772216
144.3917,-1.7459,-34.194,-98.877,153.1982,-1.0723842685013234,2.585162183629042,-1.0103290915489196,2.5678629875183105
144.4017,-2.9489,-32.6559,-126.5869,158.6914,-1.122357345816277,2.5882131352251747,-1.1185250401496887,2.567633295059204
144.4145,-4.5035,-32.6559,-164.917,158.6914,-1.7719325433434236,2.755413058979651,-1.829969847202301,2.728614568710327
144.4245,-4.5035,-31.2222,-164.917,138.1836,-2.5535906774864996,2.7506288368149954,-2.584886932373047,2.7361933469772337
144.4345,-4.5035,-30.0467,-164.917,114.1357,-3.0747599181816114,2.725911067420074,-3.03598370552063,2.7040387630462646
144.4445,-9.0189,-29.2557,-260.6201,68.3594,-3.7540309274587798,2.7183660809724683,-3.797268342971802,2.651015281677246
144.4545,-14.0671,-30.0357,-245.9106,-14.8926,-4.245730835359269,1.918366080972468,-4.432764959335327,1.8510152697563171
144.4645,-16.3523,-29.5798,-224.3652,28.3813,-4.484654275256593,1.2379403403678153,-4.312248730659485,1.1779018759727478
144.4745,-18.5166,-28.2889,-203.125,84.9609,-4.223736470673409,0.9007456170947783,-4.0081360101699826,0.8637914538383484
144.4845,-20.549,-28.2889,-182.6172,84.9609,-3.924302527893589,1.130369830497747,-3.7300577402114867,1.1015224277973175
144.4945,-20.549,-27.2507,-182.6172,106.3843,-3.9360548284932753,1.1598963085859668,-3.7723896741867065,1.1448130011558533
144.5045,-22.4497,-27.2507,-167.1753,106.3843,-3.6377586962267983,1.3949919885279327,-3.483480191230774,1.373943316936493
144.5169,-24.224,-26.0367,-158.9355,123.291,-3.357308137803378,1.4156055224452933,-3.2392475605010986,1.403531277179718
144.5269,-27.6297,-24.6085,-163.3911,132.5073,-2.822989439717402,1.5182440972246936,-2.72877676486969,1.4979135513305664
144.5369,-27.6297,-23.334,-163.3911,121.8262,-2.8777347596065463,1.679930512319796,-2.9199772119522094,1.6560149669647217
144.5469,-29.2996,-22.1915,-158.6304,112.6709,-2.6893132335197687,1.7388535596468082,-2.810749650001526,1.7278786063194276
144.5569,-29.2996,-21.0928,-158.6304,109.7412,-2.7983281381898966,1.7346565122628514,-2.9175724267959593,1.7191023230552673
144.5669,-32.6175,-20.0546,-163.3911,103.6377,-2.371219392911216,1.732560225130489,-2.4397736191749573,1.7179028749465943
144.5769,-34.4138,-19.0604,-177.3071,99.7925,-2.2694502337254057,1.7026945677378111,-2.283931851387024,1.6869682550430298
144.5869,-38.3469,-18.0606,-192.3828,101.2573,-2.208068119863848,1.6426714530948634,-2.2620332837104797,1.630397915840149
144.5969,-40.3464,-14.9899,-187.7441,106.4453,-2.7576081897599667,1.3991247161151699,-2.8171338558197023,1.4006062746047974
