t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
91.7667,-1.2506872690464688,0.324878029750496,-1.4479244947433472,0.44582825899124146
91.7767,-1.1492569405198685,0.2896682918137212,-1.4082804918289185,0.38886699080467224
91.7867,-1.0583526129520067,0.2526985621453438,-1.2391256093978882,0.32899582386016846
91.7967,-0.9762553401727734,0.22455600355630076,-1.1193361282348633,0.2693769335746765
91.8067,-0.8622703580497715,0.2390032648748347,-1.0194958448410034,0.22327019274234772
91.8167,-0.8321249594683144,0.25561418821897447,-0.9505435824394226,0.20229068398475647
91.8267,-0.8254735951779613,0.2846406419740863,-0.8603360652923584,0.21548204123973846
91.8367,-0.8368362605670706,0.3110719697810998,-0.8381041288375854,0.24239681661128998
91.8492,-0.8319365682503548,0.33439496787154754,-0.8322613835334778,0.2716429531574249
91.8592,-0.8597117616548159,0.3968638926127892,-0.8269997835159302,0.2978397309780121
91.8692,-0.8909027781126941,0.4038681946667215,-0.8069772720336914,0.32343557476997375
91.8792,4.632694982427085,0.4443442006661538,-0.8060883283615112,0.38502025604248047
91.8892,-0.11131820313617642,0.47619496944188844,-0.8114407658576965,0.38716551661491394
91.8993,3.192146251140575,0.553582772225259,3.4799716472625732,0.42026287317276
91.9093,0.7065995961854427,0.5404265202763485,1.4216574430465698,0.43551918864250183
91.9193,2.4802734815299434,0.520964238404708,2.3768529891967773,0.49269363284111023
91.9293,1.9598783769314165,0.5078120375288396,0.49299460649490356,0.4747876524925232
91.9393,1.580385955060272,0.4740650551586249,1.5870656967163086,0.44088295102119446
91.9516,1.3710968410401017,0.4095451912640465,1.2400003671646118,0.4245763421058655
91.9616,1.231100291262099,0.4178775326639464,1.0194692611694336,0.37946030497550964
91.9716,1.1307394625787428,0.44639612522211203,0.9029684662818909,0.30066317319869995
91.9816,1.0239273511090525,0.450127465816979,0.8313672542572021,0.3093722462654114
91.9916,0.9146884000969369,0.45856637964754415,0.7847752571105957,0.34953823685646057
92.0017,0.8199964912353267,0.46228384669619405,0.7286772131919861,0.3650009334087372
92.0117,0.7894069689394045,0.46598481703233513,0.6559619903564453,0.3783600330352783
92.0217,0.6901743496438442,0.4690584839719976,0.6006592512130737,0.392764687538147
92.0317,0.5684334735314179,0.49708949081762194,0.5765097737312317,0.3993935286998749
92.0417,0.4608484362369162,0.5165067407984753,0.4980475604534149,0.39825132489204407
92.0559,0.3759356718548449,0.5554496328343519,0.41717612743377686,0.4229481518268585
92.0659,0.23640781729701899,0.6268086049155791,0.33144089579582214,0.44489872455596924
92.0759,0.1604045754616775,0.7353769706800847,0.23949208855628967,0.4848579168319702
92.0859,0.10565086037025029,-2.4601508468211994,0.13130351901054382,0.5665441751480103
92.0959,0.1035679804381216,-2.150066828441441,0.08416905999183655,0.6805580854415894
92.1059,0.1266986365981937,-1.8506637859579709,0.057291802018880844,-2.371011734008789
92.1159,0.18105617200296206,-1.5172357220993364,0.05269705876708031,-1.9290317296981812
92.1259,0.2489519540630431,-0.9784626815469939,0.06314433366060257,-1.6046795845031738
92.1359,0.32265001992540965,-0.6717423337063421,0.09392449259757996,-1.283730149269104
92.1459,0.3860605996614538,-0.7613382706547906,0.139165461063385,-0.7739030718803406
92.1581,0.4215929200605059,-0.36311403682535315,0.18523214757442474,-0.5915746092796326
92.1681,0.4328109833900093,-0.04855600665869342,0.22434504330158234,-0.3814580738544464
92.1781,0.42888763213194325,0.19930821163911072,0.2477787435054779,0.06802957504987717
92.1881,0.36653941167664594,0.5844807995211136,0.256215900182724,0.5702789425849915
92.1981,0.258233883842553,0.7453673421106147,0.24997997283935547,0.8075428009033203
92.2081,0.175060778927297,0.9772797648200425,0.23790420591831207,1.1804986000061035
92.2181,0.11479806285904606,1.07395726652203,0.18395891785621643,1.3367453813552856
92.2281,0.08807746815491918,3.2650297943348265,0.14421586692333221,3.471179485321045
92.2381,0.09867294401107413,-1.8795940876553276,0.10936278104782104,-2.2347261905670166
92.2481,0.15370162846474,-1.9363096920468923,0.09339281171560287,-2.282771348953247
92.2606,0.20786390412873879,-1.979559992529188,0.10943667590618134,-2.3065547943115234
92.2706,0.2637743678063954,-1.9807518561614494,0.1970435082912445,-2.2999391555786133
92.2806,0.30551948730492107,-1.9340777062693992,0.2565317153930664,-2.3046040534973145
92.2907,0.3472233000380394,-1.8814591602236468,0.314913272857666,-2.3005099296569824
92.3006,0.36641010310572525,-1.8627814930627293,0.35820239782333374,-2.256760597229004
92.3107,0.34225145460757367,-1.8490227240839288,0.40183383226394653,-2.1997578144073486
92.3207,0.3192991977676909,-1.7721964916151658,0.4237872064113617,-2.1753358840942383
92.3307,0.2911525782969664,-1.664441045949784,0.3981589674949646,-2.143918514251709
92.3407,0.26456047311022823,-1.5041936209707836,0.37164872884750366,-2.0608198642730713
92.3507,0.24607954377658797,-1.2670032009128958,0.3401139974594116,-1.9504375457763672
92.3631,0.2642019815691125,-0.9943727123548312,0.2979571521282196,-1.7807624340057373
92.3731,0.2861372500137124,-0.814591160308549,0.27807676792144775,-1.514969825744629
92.3831,0.31202733580928066,-0.7089531706454868,0.29617637395858765,-1.2072365283966064
92.3931,0.34934975390228257,-0.6724016192756207,0.31995946168899536,-1.0070122480392456
92.4031,0.35427357763702605,-0.6962969440666219,0.33790847659111023,-0.8973231911659241
92.4131,0.3953848762844371,-0.7242485530875793,0.3873843550682068,-0.8513872027397156
92.4231,0.4025115142007988,-0.7470724194292238,0.4100058674812317,-0.8756526112556458
92.4331,0.43812129337326394,3.1703111917518303,0.46141308546066284,-0.9075159430503845
92.4431,0.4581666004804598,0.42983927418170065,0.4706754982471466,-0.9206582903862
92.4531,0.46577308398109024,2.028859961761274,0.5019274353981018,3.5381104946136475
92.4655,0.47350851898900287,1.5302989241169638,0.5169538259506226,-0.3394537568092346
92.4755,0.484760057288677,1.263688657100872,0.5269725322723389,2.5983388423919678
92.4855,0.501038624769312,1.1598649877469958,0.5274884700775146,1.9894927740097046
92.4955,0.525642775164325,1.146148781174156,0.5468981862068176,1.5994101762771606
92.5055,0.5157135288756332,1.1447085800695511,0.5627968907356262,1.4157856702804565
92.5155,0.5016201914394616,1.1483768491173534,0.5888259410858154,1.3765627145767212
92.5255,0.4817946982304451,1.1210842101868141,0.5766413807868958,1.3610998392105103
92.5355,0.5055077850877943,1.0397991328508587,0.566749095916748,1.355878233909607
92.5455,0.487485838451466,0.8631632942374469,0.5477121472358704,1.351508617401123
92.5555,0.5072268932148591,0.7045251011732211,0.5807368159294128,1.3644219636917114
92.568,0.5284066726937445,0.6327821577831574,0.5463659167289734,1.2238945960998535
92.578,0.504005629517442,0.5575044086431571,0.5715121030807495,1.0499422550201416
92.588,0.42438339958987764,0.45726247657426433,0.5898104906082153,0.9402220845222473
92.598,0.4494699043252399,0.3955025211452595,0.5702537298202515,0.8438002467155457
92.608,0.5318778773425195,0.30355634978808455,0.49242886900901794,0.7325634360313416
92.618,0.8146293045960162,0.2369847515644843,0.528311550617218,0.6438432335853577
92.628,-4.503623873425031,0.19578930027177788,0.6138015389442444,0.5056254267692566
92.638,-3.4399350739045937,0.212754376235479,0.887106716632843,0.40266740322113037
92.648,-3.0268089560169225,0.28367532988529737,-3.744133710861206,0.34840255975723267
92.658,-2.49049818096604,0.3740231091548767,-3.0589940547943115,0.37452375888824463
92.6704,-1.7495330732620031,0.4574850000156266,-2.386748790740967,0.4649726152420044
92.6804,-1.3361948179212355,0.5155299634010944,-1.8654990196228027,0.5763646364212036
92.6904,-1.8194410940793708,0.513605496666157,-1.064113974571228,0.6732725501060486
92.7004,-1.4981418838835578,0.4890200485035162,-0.49177804589271545,0.7289363741874695
92.7104,-0.9688066020668369,0.4349031890946639,-0.041149187833070755,0.7011197805404663
92.7204,-0.9521176609933075,0.3841740294691779,0.6655225157737732,0.6452521681785583
92.7304,-0.8056849289476768,0.35867224676965853,1.385930061340332,0.5640564560890198
92.7404,-0.4602096548983483,0.37869330488720987,1.4713178873062134,0.520028829574585
92.7504,-0.1784233412706433,0.33283205125109183,3.4936201572418213,0.44728365540504456
92.7604,0.0743395868054384,0.390465715972,-3.596982717514038,0.4064764082431793
92.7728,0.3448713764071941,0.4249851036476041,-3.2600691318511963,0.3459618091583252
92.7828,0.4500456461340284,0.47043478233141495,-2.939800500869751,0.3978138864040375
92.7928,0.44757102845550756,0.5367318705731309,-2.604185104370117,0.43303224444389343
92.8028,3.8379974328573514,-1.4711793429798443,-2.336404800415039,0.48266682028770447
92.8128,-1.7160225711430421,-1.2412883698002712,-2.1325085163116455,0.5483286380767822
92.8228,-1.6156919393436753,-1.1450726834585563,-1.8671603202819824,-1.135157823562622
92.8328,-1.4947341574259205,-1.0228615413890814,-1.6114133596420288,-0.9823950529098511
92.8428,-1.4035956614029361,-0.09545508276768756,-1.3258315324783325,-0.9001466631889343
92.8528,-1.31116692997428,0.24800062044407434,-1.0638457536697388,-0.8819903135299683
92.8628,-1.209143852182921,0.22208635296156518,-0.9145532250404358,-0.8208078145980835
92.8752,-1.1093456596930695,0.20331059672330185,-0.7694068551063538,0.3741646409034729
92.8852,-1.0350420024889493,0.2046372894419338,-0.6358981132507324,0.3990088403224945
92.8952,-0.9445772321952335,0.2058788110202206,-0.5277377963066101,0.34736257791519165
92.9052,-0.9167809014304464,0.21182613016058008,-0.4545026123523712,0.32795450091362
92.9152,-0.893924868681168,0.21919228494046727,-0.3756517767906189,0.3186931610107422
92.9252,-0.8824383086048746,0.23612871531925225,-0.3656200170516968,0.31299570202827454
92.9352,-0.8695555463978633,0.26228227259566184,-0.36460041999816895,0.31270378828048706
92.9452,-0.8570820954925995,0.30674839404725684,-0.382394939661026,0.32470056414604187
92.9552,-0.8581524375809471,0.3052459800525834,-0.412003755569458,0.3464490473270416
92.9652,3.4056674127691404,0.3137428566014612,-0.4480747878551483,0.3862231373786926
92.9775,2.225089435844966,0.3115430258510597,-0.5242269039154053,0.3757830858230591
92.9875,2.1312328000853666,0.2849480010010271,6.647897720336914,0.37805044651031494
92.9975,0.9920370865576394,0.2629777129300642,0.803417444229126,0.37110546231269836
93.0075,1.3945786179173103,0.24796817322240297,3.514421224594116,0.33729231357574463
93.0175,1.1866192163229332,0.23896293664609058,0.5894471406936646,0.30720990896224976
93.0276,1.0343492572239557,0.23341708034658074,2.513780355453491,0.29101690649986267
93.0375,0.9527259033859192,0.24436470845036123,0.16408470273017883,0.27996310591697693
