t_s,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
122.3561,1.2371188161266171,-0.4113647624198145,1.4037092447280883,-0.413678920827806
122.3687,1.1269373900624104,-0.4070511695232855,1.2664978206157684,-0.4120327062904835
122.3787,1.1159646616840857,-0.4027686095516514,1.2418358981609345,-0.41010720301419495
122.3887,1.033239446351088,-0.3985980460039325,1.1360600888729095,-0.4090611984953284
122.3987,0.9659662415781141,-0.3956740820230271,1.0388282984495163,-0.40827477928251027
122.4087,0.9893298345492324,-0.40483097485160746,1.0508803308010102,-0.4082392996177077
122.4187,0.9853875473208517,-0.4072843452966442,1.042371290922165,-0.4142949293367565
122.4287,0.9619015101995467,-0.39438997759777983,1.0113723933696748,-0.4021659997291863
122.4387,0.9233834660404898,-0.41492939280536206,0.9743314921855927,-0.4268171897158027
122.4487,0.9035873325560957,-0.4379777456980595,0.9450674235820771,-0.45453251488506796
122.4587,1.0129915543027619,1.6565190666404628,1.0703397989273071,1.6741250962018968
122.4709,-1.4822497967154455,1.2019418891589353,-1.8495661258697509,1.1709113031625749
122.481,-1.1688857822372507,0.5576219175016892,-1.4777678728103638,0.5652290016412735
122.491,-1.023179709335562,0.5684825930675512,-1.2721775650978089,0.5756886929273606
122.5009,-0.7800912262033194,0.619622363479975,-0.8710517346858978,0.6556508287787437
122.5109,-0.9215225500932481,0.5807559676938815,-0.9063438653945923,0.4194948382675648
122.5209,-1.1795302414909687,0.6224476075651977,-1.6685852646827697,0.3205623395740986
122.5309,-1.3899723420274785,0.5574671020480457,-1.9765567302703857,0.21088903471827508
122.5409,-0.757706976204816,0.4676468018150494,-1.2989554531872272,0.13499346300959586
122.551,-0.7176925224842574,0.6653872830223545,-1.2352155342698097,0.7692809641361237
122.5609,-0.7492298683427254,0.46707722493731474,-1.253643773496151,0.532997889444232
122.5736,-0.7556595379423481,0.39034631797100394,-1.219537679851055,0.46469671949744223
122.5836,-0.6890632655053984,0.3978885256448955,-1.1226332049816847,0.49653835892677306
122.5936,-0.7700578709221182,0.5143879506332795,-1.1922615638002754,0.5845283940434456
122.6036,-0.686722166579157,0.6132316810174486,-1.0794411661103367,0.6700975269079208
122.6136,-0.4491994543421901,0.648952798503266,-0.7931863248348237,0.6883788049221039
122.6236,-0.32127839422217164,0.631592258416459,-0.6406550005078315,0.6445357769727706
122.6336,-0.2033386259173227,0.5831911728554463,-0.3500511273741722,0.5951030910015106
122.6436,-0.011770067108750693,0.5229618969887342,-0.6196681231260299,0.50840620175004
122.6536,-0.10538537735822832,0.34639770295850586,-0.7648621648550034,0.3067984240595251
122.6636,-0.1584239276068104,0.26846630789759746,-0.8249721139669418,0.21760001927614211
122.676,0.42113876043835335,0.3168876332131515,-0.13722603134810923,0.2646574657410383
122.686,-0.20890472339347524,0.1975369945985795,-0.5109912190586329,0.1248115464579314
122.696,-0.23803511211203535,0.25724910548158636,-0.5713622979819775,0.21389240701682866
122.706,-0.024052053439440703,0.2978368043354661,-0.302346333861351,0.5622446628287434
122.716,-0.07978665615607293,0.2661034529302941,-0.21938889622688293,0.6823775559663773
122.726,-0.05234336184990642,0.22617779260193904,0.24631301462650299,0.5251909639686346
122.736,-0.0786239450025809,0.10490245543504066,-0.3885410979390144,0.189381705224514
122.746,0.5509705942497433,0.6635156700105858,0.06354009136557578,0.7819215094670653
122.756,-0.19463370147286732,0.6802307566311522,-0.3450019970536232,0.6356996804475784
122.766,-0.19691945667532143,0.5365531902451244,-0.32090377658605573,0.253205256536603
122.7771,-0.20723932526490443,-0.20466464847759241,-0.3251657038927078,0.114679516851902
122.7871,-0.23981272483795818,0.7727869082854515,-0.3440918639302254,0.9129920989274979
122.7971,-0.2953360774974043,-0.05071697935993169,0.1124855935573578,0.3507507607340813
122.8071,-0.35973190642933,0.3074608320622107,-0.4741642653942108,0.6768872338347137
122.8171,-0.365017979557449,0.7671865656613065,-0.48013495802879336,0.3531228393316269
122.8271,-0.43721298077828213,0.547979604815683,-0.5489720374345779,0.6482543408870697
122.8371,2.047708878517709,0.8553921638133393,2.9008615612983704,0.7097353160381317
122.8471,0.9089266699302854,0.7904090747809636,1.4374147027730941,0.6413866966962815
122.8571,0.9204180394251333,0.7054907531224075,1.4820467300713063,0.5630769610404969
122.8671,0.5528008468898772,0.5978827031181041,1.0324715614318847,0.23652692507021128
122.8771,0.3787028267751113,0.6138908076183495,0.9498735383152962,0.5644943814724683
122.8871,0.38470123888476554,0.6385937829024386,0.7796833239495754,0.590648464858532
122.8971,0.3122063684462009,0.6225854795240892,0.6652871027588845,0.5743520155549049
122.9071,0.2730320079725777,0.6085751205414152,0.606478889286518,0.5600949734449386
122.9171,0.26190724547438726,0.5910844852031554,0.602158373594284,0.5426238968968391
122.9271,0.2455039835648222,0.5740003137816911,0.5713994815945626,0.527616336941719
122.9371,0.2205568910213128,0.46300046957257657,0.5260139539837837,0.4208454743027687
122.9471,0.19716250484480113,0.466122871434406,0.48322205916047095,0.4272352263331413
122.9571,0.18116798526360073,0.4767499988780637,0.44380533024668695,0.4384211033582687
122.9671,0.19429474370618022,0.5361828190672482,0.45568066705018284,0.4989523276686668
122.9771,0.20583173781256817,0.5597720803063838,0.4732048664242029,0.5174492999911309
122.9871,0.1587704836382638,-0.8043656306134155,0.3715816680341959,-1.3926496148109435
122.9971,0.16361561425934426,-3.0505403352437703,0.38137418739497664,-2.674830225110054
123.0071,0.1944448050610966,-2.1063067871450043,0.4227484129369259,-2.2818694531917574
123.0171,0.21697486606331048,-2.3719445606582084,0.4435647062957287,-2.5293471574783326
123.0271,0.2291047823371311,-1.9987687994663443,0.44039075672626493,-2.06873539686203
123.0371,0.21577267649139703,-1.677745406172099,0.4716550797224045,-1.76649010181427
123.0471,-0.0993085089387593,-1.786995070530382,-0.1501351073384285,-1.8656685471534729
123.0571,-0.11994239916217757,-1.4271965085633251,-0.16947042047977448,-1.5079715967178344
123.0671,-0.14234758167710912,-1.0771869600145658,-0.1894144631922245,-1.17437886595726
123.0771,0.481789241086455,-1.2044390693965572,0.6221620827913285,-1.306425428390503
123.0871,0.45216411649384386,-0.49157651480018105,0.5607166677713394,-0.5438023179769516
123.0971,0.363844720692496,-0.5728983348337702,0.4325518161058426,-0.6351689904928207
123.1071,0.3930383383938855,-0.6298190270876961,0.4594471514225006,-0.6945780932903289
123.1171,0.3754395934723037,0.06641581887419709,0.43010070323944094,0.022712986823171376
123.1271,0.35596835152726847,0.13692866468079568,0.3994734942913055,0.09978703036904335
123.1371,0.3447049232805552,0.22062625368055072,0.3828117236495018,0.19279341548681259
123.1471,0.35753241406351016,0.45057790181618007,0.38415706902742386,0.3198624312877655
123.1571,0.41379467724122765,0.09231596352819874,0.4342747420072556,0.10702055990695954
123.1671,0.4692408725744544,-0.3979891313297847,0.4823772132396698,-0.8242211908102035
123.1771,0.5095198872828004,-0.3211915277613299,0.49873306751251223,-0.652862448990345
123.1871,0.523139154308675,-0.8704415921642694,0.5134715050458908,-0.7722909547388553
123.1971,0.53545739801193,-0.8142426748530213,0.5240549206733703,-0.6669408977031708
123.2071,0.593047733927835,-0.7494671271951928,0.57360759973526,-0.49272340834140776
123.2171,0.6404605677418138,-0.6199472174393262,0.6234896421432495,-0.2649858847260475
123.2344,0.444059032496544,-0.4961497795318509,0.44613497853279116,-0.2928100586403161
123.2444,0.3295300237726776,-0.41757648453128643,0.3378661751747131,-0.20880846604704856
123.2544,0.2994212104872003,-0.44686563392507905,0.3149911880493164,-0.23590928241610526
123.2644,0.2692528242737221,-0.2884001650738516,0.2996268091723323,-0.11450912165455521
123.2744,-0.09303869757662504,-0.17172704832310517,-0.04536734540015459,0.10987347988411784
123.2868,0.011550074017602602,-0.1964680473272987,-0.13509018048644067,-0.11981553519144654
123.2968,0.09070439791410873,-0.06043639227027222,-0.22860269322991372,-0.10693560745567084
123.3068,0.13649730423049417,-0.19917044891405852,-0.3568639501929283,-0.10804132893681526
123.3168,0.11995071826378659,-0.06691611661896676,-0.17150781005620958,-0.1036923311650753
123.3268,-0.010923212738345211,-0.2283480247383563,-0.3769819334149361,-0.11177190728485584
123.3368,0.17441586150363925,-0.24069517038008542,0.04340543076395988,-0.01886840690858662
123.3468,0.05023823861023088,-0.25211421937229994,0.16078004390001296,-0.085512575507164
123.3568,-0.11873903033226489,-0.25271259294867743,0.09186451509594917,-0.16208606623113156
123.3668,1.0407590426960078,1.24785556747403,1.0336908489465713,0.5525658436119556
123.3768,1.153570282331286,0.5711380200951366,1.1436693415045738,0.010940640140324831
123.3892,1.0872565781772976,0.23545196623544712,0.9115594092756509,0.31672744154930116
123.3992,0.9422706047819375,0.3143989128192057,1.2274309400469066,0.1822609955444932
123.4092,1.177959729678816,0.22049832447522338,1.2016461078077554,0.11530009806156158
123.4192,1.1440334728379788,0.13287666264065603,1.1464747903868555,0.06699116975069046
123.4292,1.0685014488839144,0.10482437386317751,1.0616216756403447,0.04033394679427147
123.4392,0.9760946780081262,0.0874973647759151,0.9717307202517986,0.030757613480091095
123.4492,0.9774509901738885,0.07670590134311654,0.9694219522178174,0.027066777646541595
123.4592,1.0586032038219073,0.07553564766435403,1.039668718725443,0.027039234340190888
123.4692,1.061372244321075,0.06568177372561183,1.0376390367746353,0.02242161240428686
123.4792,0.9853229711530854,0.06513954884253255,0.9540845647454261,0.021595217660069464
123.4918,0.7226953762540458,0.06053388814126641,0.7084958484396339,0.019365875236690044
123.5018,0.7284045878961483,0.06696604761915233,0.7126215092837811,0.023827937617897987
123.5118,0.8145064649487089,0.08448440682404658,0.7951579615473747,0.04047800600528717
123.5218,-1.808713570693516,0.10656492167645426,-1.6248441576957702,0.05377424657344818
123.5319,-1.437589330421297,0.1280775831705117,-1.267216730117798,0.062454798817634584
123.5418,-0.9192667284618669,0.08317944092621046,-0.7908132910728455,0.04043389558792114
123.5518,-0.7688728700364711,0.09052581663063715,-0.7313670456409455,0.043592740595340726
123.5618,-0.8884335673960851,0.09593793098216696,-0.7645366460084915,0.04632008075714111
123.5718,-1.2774700139065633,0.11896064420620764,-1.0045776546001435,0.05610002875328064
123.5818,-0.94553820171137,0.15815213344461931,-0.71414335668087,0.07144452929496765
123.5938,-0.2388221677987979,-0.07554897381423109,-0.017847299110144377,-0.03153516626916826
123.6038,-0.20775813241800786,-0.0938332645369644,0.006102968845516444,-0.04885946698486805
123.6138,-0.24997209652174374,-0.12274575132020904,-0.030706978961825372,-0.06833255216479302
123.6238,-0.22130020855948493,-0.12724863974938333,-0.008490943163633347,-0.07600988065823913
123.6338,-0.022897083304487087,-0.13976157176832557,0.05339602939784527,-0.09321595123037696
123.6438,-0.5268263375187126,0.5068577394028135,-0.02655063010752201,0.35310417860746385
123.6538,-0.8709297141747727,0.2607949408697887,0.06771170422434807,0.19015507716685534
123.6638,-0.5720665733980331,0.35464097520340515,0.2142750822007656,0.26335133984684944
123.6738,-0.47687833297694454,0.3572590106549937,-0.17341787442564965,0.26250567510724065
123.6838,-0.1764854365840935,0.34877284274183157,-0.20395060926675795,0.23886091858148575
123.6962,-0.7944759569128176,0.34439453366529726,-0.5708567004650831,0.22737687975168228
123.7062,-0.6505024705629162,0.32530037700674114,-0.42542140297591685,0.21347358226776122
123.7162,-0.8047947042741977,0.3512902482118192,-0.6390782102942467,0.24002918750047683
123.7262,-0.4452494010839735,0.34141502315463734,-0.2889430493116379,0.24352559298276902
123.7362,-0.30406920523862074,0.2733613909586121,-0.34464164078235626,0.19689334519207477
123.7462,-0.4041739311701969,0.3099476692064251,-0.42882865071296694,0.23335908390581608
123.7562,-0.32772213075994694,0.21903792409849424,-0.2754678770899773,0.15026102866977453
123.7662,-0.04556302084380366,0.10561591347532542,-0.3679681450128555,0.03743211375549436
123.7762,-0.2877855352537603,0.1528757835342426,-0.3328827485442162,0.06899502966552973
123.7862,-0.2631304565461137,0.19534231441073424,-0.3176784798502922,0.10688170217908918
123.7986,-0.01346792072450469,-0.15054234061387112,-0.2993835687637329,-0.26403993740677834
123.8086,-0.2704089642292212,-0.12899535545615995,-0.2946421653032303,-0.05332956109195948
123.8186,-0.2970638921927275,-1.7786405631515378,-0.32822636514902115,-0.9135414272546768
123.8286,-0.29353786420604094,0.7813799656068372,-0.33017421811819075,0.834727244079113
123.8386,-0.3093107348319392,0.567997508538426,-0.3518628031015396,0.656400041282177
123.8486,-0.35933966293584857,0.8465191192739182,-0.40116226524114607,0.8726035743951798
123.8586,-0.44086054434121474,0.7843719800696476,-0.4757815033197403,0.7129014372825623
123.8686,-0.5057703806241984,0.7094711385861794,-0.5335043907165528,0.851842999458313
123.8786,-0.4718962565398363,0.7522815581075682,-0.4970673531293869,0.9021210610866547
123.8886,2.1538142505888964,0.746360181269722,2.042575454711914,0.8837497591972351
123.9012,0.922785003875403,0.758851629937761,0.8872993662953377,0.882169497013092
123.9112,1.0714611226122484,0.7105779155297157,1.2073217511177063,0.8488344252109528
123.9212,0.9800324017516429,0.8317124305541445,0.9086026936769486,0.9845693588256836
123.9312,0.8119495495554887,0.933031114565899,0.734718582034111,1.0977842390537262
123.9412,0.6883992621098977,0.6266434190573655,0.6282574504613876,0.8021873325109482
123.9512,0.6142781740163474,0.6178502397333406,0.5633134573698044,0.7909162312746048
123.9612,0.5705178540619541,0.6521744993746619,0.5250653684139251,0.8189328372478485
123.9712,0.5772484976869677,0.6204072448051923,0.5356123119592666,0.7777975678443909
123.9812,0.5893927597049629,0.0327097732768047,0.5527692705392837,0.6383639454841614
123.9912,0.5269924847364172,0.2788538388263824,0.49407643973827364,0.3598313106223941
124.0035,0.49676640727732196,0.3090696825552358,0.4654274836182594,0.3781511317938566
124.0135,0.42615782742487357,0.32974850170347664,0.39908476620912553,0.39171839542686937
124.0235,0.4115101402776341,0.3481411523269506,0.3862589538097382,0.40351204946637154
124.0335,0.39078765407477534,0.47026233843462534,0.364499694108963,0.5336767792701721
124.0435,0.37147638522730075,-3.6940572163393184,0.34549312889575956,-3.4549784660339355
124.0536,0.2865908289173482,-2.9785545855384674,0.3501302681863308,-2.9088204383850096
124.0636,0.09335010397480922,-2.6390007377189457,0.2892228439450264,-2.4355740308761598
124.0736,-0.13232033790899403,-2.551874032466599,-0.1641795590519905,-2.40278697013855
124.0836,-0.15713234757373554,-2.0730293011257626,-0.16504282057285308,-1.9419111847877502
124.0936,0.4860986071687229,-2.150954716574733,0.4318803161382675,-2.0504243969917297
124.1061,0.49467598763108434,-1.6642635524732607,0.4555507391691208,-1.6305002212524413
124.1161,0.45334884839896705,-1.2596118938474699,0.420201849937439,-1.1896958947181702
124.1261,0.42997138142848473,-0.8386443446783295,0.3971765786409378,-0.7674341082572937
124.1361,0.5013093939325112,-0.4852522638901064,0.4719624489545822,-0.39830802083015443
124.1461,0.49780954476181394,-0.2577934104163619,0.47535271048545835,-0.19084684513509273
124.1561,0.5217583094286682,-0.3302503368749855,0.5122636318206787,-0.280254627391696
124.1661,0.5122260266492293,-0.19874944794609084,0.5293090879917145,-0.1567752655595541
124.1761,0.506068042664158,-0.10285034526667236,0.5397781580686569,-0.06126924225827679
124.1861,0.5060723286571245,-0.15400862372154314,0.5480660736560822,-0.11318086925894022
124.1961,0.5410023303751536,-0.19522890116627675,0.5827056020498276,-0.16095267962664367
124.2084,0.5840472852214539,-0.10413576734258567,0.6300895839929581,-0.07172749722376466
124.2184,0.5659291526184402,-0.12410391527071578,0.6187856256961822,0.025464167445898057
124.2284,0.5096294263240686,-0.24928879094749753,0.5641860455274582,-0.019203894212841986
124.2384,0.38771236489820915,-0.15538957342366663,0.44281339943408965,0.06218576431274414
124.2484,0.48669340559053653,-0.07758810384636193,0.5543606370687485,0.1827902164310217
124.2584,0.4396199606863046,0.016230946247653165,0.5213029772043228,-0.0862710103392601
124.2684,0.2391169738299868,-0.3189552515218137,0.34688539505004884,-0.4452319674193859
124.2784,0.3279566076244008,0.2669975825756452,0.44009954631328585,0.044228467345237735
124.2884,0.2455234040759709,-0.20229694404652357,0.35322014465928075,-0.32227198109030725
124.2984,0.16750062098709434,-0.28916953967025255,0.26659331169212236,-0.25420135743916034
124.3109,-0.11152494961646235,-0.28790900740708036,0.01929911058396101,-0.21654762271791697
124.3209,-0.1506216978204566,-0.2676960108568449,-0.18280065879225732,-0.16996019328944384
124.3309,0.200735859748891,-0.3676486281299774,-0.13463549421867355,-0.22366838091984392
124.3409,0.31968584400202565,-0.29182155532378634,-0.19779139719903469,-0.16345435865223407
124.3509,0.16845266417921617,-0.16113769804079486,-0.39053278425708415,-0.08298863992094993
124.3609,0.4554970495122765,-0.15469246431736366,-0.029958549374714493,-0.04828011739300564
124.3709,0.4042881366175252,-0.1579337115022687,0.12342542810365557,-0.10625462085008622
124.3809,0.34743267343308226,-0.1633436405231287,0.3126910403370857,-0.11091712415218354
124.3909,-0.056809970238902774,-0.15690074090028053,0.007527875900268555,-0.10540709113702178
124.4009,0.384798042693273,0.5998401129561779,0.043837064504623414,0.4116973876953125
124.4136,0.48036561065191313,0.26067498259222055,0.6278037190437317,0.10334163904190063
124.4236,0.6448404262774023,0.31021966934865003,0.6728583753108979,0.23609357476234435
124.4336,0.3485519532186386,0.31361593142946853,0.2362113356590271,0.1670577421784401
124.4436,0.9306106745422278,0.2360086580151969,1.0474580228328705,0.12111057359725237
124.4536,0.937382350052798,0.18151620484058256,1.0393705010414123,0.09469460248947144
124.4636,0.8913592924401244,0.15804446103772468,0.9774748980998993,0.08415037393569946
124.4736,0.8129537188221889,0.1456214912621973,0.8856859922409057,0.07821949124336243
124.4836,0.7928207177877555,0.13774343381658566,0.8526218414306641,0.07668113112449645
124.4936,0.7273438208905484,0.1340672180915128,0.7857349514961243,0.075935697555542
124.5036,0.6857702608607881,0.13159263303654545,0.7384850978851318,0.07514466047286987
124.516,0.6763831079529361,0.11025149125465075,0.7240409910678863,0.06199817061424255
124.526,0.6948172747204907,0.09907309638115402,0.7353869318962097,0.05585533380508423
124.536,0.7503089314601289,0.08292820314561006,0.7784855902194977,0.04690530300140381
124.546,0.8032566660454081,0.08442675541448957,0.8197474777698517,0.048274919390678406
124.556,-1.587280208759847,0.06302616368210091,-1.431818163394928,0.03338968455791473
124.566,-1.2654270609654212,0.0714840125406325,-1.1272093832492829,0.035487961769104
124.576,-1.0792587273578698,0.08176860272435671,-0.9592313289642334,0.03862297236919403
124.586,-1.1484602040656706,0.09579406584295751,-1.0326601624488831,0.04870534837245941
124.596,-1.02678627203586,-0.03320766485940847,-0.9557419896125794,-0.019493187963962554
124.606,-0.9558435751858261,-0.03616316899320062,-0.9277459859848023,-0.02146603763103485
124.6186,-0.6022461816042683,0.10518312356537773,-0.32757253348827364,0.05678498148918152
124.6286,-0.3688385283971187,0.10998090682488111,-0.09416822707280517,0.05483255386352539
124.6386,-0.3355958845423527,0.126929878146621,-0.07384610525332391,0.06143240202218294
124.6486,-0.4779543733675684,0.15511800657805122,-0.21992620388045908,0.07274255529046059
124.6586,-0.4695665541619739,0.12722712115481327,-0.22923432728275656,0.057265623658895495
124.6687,-0.32038660280738374,0.10811103447410819,-0.08598506320267915,0.04968138542026281
124.6787,-0.1579646410059342,0.0867368900395534,0.07440656907856465,0.04190999083220959
124.6887,-0.2132342564989555,0.08282077215091786,-0.029069766402244568,0.045196296740323307
124.6987,-0.07717834652258307,0.0855741050152116,-0.06810046881437301,0.052852106280624866
124.7087,-0.1337471890950228,0.08559977610023137,0.05325662307441235,0.0596573076210916
124.7214,-0.27176885814671115,0.08181476612606223,0.25679037254303694,0.07158912178128958
124.7314,-0.210630184888397,0.10971500116302964,0.03390027917921543,0.10453659166814759
124.7414,-0.3597897023731153,0.13592149261137096,-0.29688709378242495,0.1398864209651947
124.7514,0.12124864693273991,0.14679488297292506,0.02012508809566498,0.1655408065766096
124.7614,-0.547809259127759,0.14599618320092836,-0.28891354650259016,0.18328306078910828
124.7714,-0.4653149342496826,0.17859332787312973,-0.23054243251681328,0.21150919944047927
124.7814,-0.39865325265256096,0.13433677930439458,-0.1426508966833353,0.1743841215968132
124.7914,-0.30789872569965104,0.08946907975191659,-0.2196263825520873,0.14676958601921797
124.8014,-0.26711536777668615,-0.18046484508675828,-0.08669288791716098,-0.07472571395337582
124.8114,-0.24160086859222626,0.045645927771347995,-0.13830246957950293,0.05118009522557258
124.8236,-0.23202591844901616,-0.4923694095737732,-0.1315677364822477,-0.041673953831195834
124.8336,-0.25764113559498286,0.8730292978149921,-0.15150248911231756,0.49535070136189463
124.8436,-0.28009294057179795,0.8420885569469704,-0.17358056753873824,0.7270620733499527
124.8536,-0.30087133983625314,0.9138018567125477,-0.19869400337338447,0.7870597004890442
124.8636,-0.2388011118163495,0.981708810885005,-0.16927712317556143,1.0285222560167313
124.8736,-0.19004303570499054,0.8421891227273062,-0.14195704218000174,0.8237452626228332
124.8836,-0.19965188497425554,0.8121829311534405,-0.15449250862002373,0.9995155572891236
