time_abs_s,time_window_s,q_L_deg,dq_L_deg_s,dq_int_L_deg_s,confidence_L,B_L,D_L,tau_ff_L,tau_damp_L,tau_exo_L,tau_measured_L,q_R_deg,dq_R_deg_s,dq_int_R_deg_s,confidence_R,B_R,D_R,tau_ff_R,tau_damp_R,tau_exo_R,tau_measured_R
239.557,29.5569,-47.33368,-174.93896,-131.026530765359,0.170112628573382,0.340225257146763,0.170112628573382,-0.778042213606918,0.130377120751831,-0.647665092855087,27.2947498,-6.96222,64.35548,60.1632535385251,0.116822015371134,0.233644030742269,0.116822015371134,0.245337181530107,-0.00854765129794378,0.236789530232163,-14.3992854
239.567,29.5669,-49.07062,-162.146,-118.017444348051,0.168943942400579,0.337887884801158,0.168943942400579,-0.695979092688605,0.130118696833181,-0.565860395855423,29.5616382,-6.45464,65.05128,57.1699426159295,0.126937903518783,0.253875807037566,0.126937903518783,0.253318227681961,-0.0174609797259096,0.235857247956052,-15.102803
239.577,29.5769,-50.26374,-148.99904,-108.993571454861,0.168139957393487,0.336279914786974,0.168139957393487,-0.639704167264182,0.117399882397103,-0.522304284867079,31.662113,-5.71416,62.57324,52.4190581380592,0.134035728551504,0.268071457103007,0.134035728551504,0.24525459666411,-0.0237543354026439,0.221500261261466,-15.761219
239.587,29.5869,-51.80514,-127.28274,-94.9316196552283,0.168107288966553,0.336214577933106,0.168107288966553,-0.557063621546524,0.0949190181616869,-0.462144603384837,33.5529708,-4.8111,58.88672,46.6191192372519,0.137290951949614,0.274581903899227,0.137290951949614,0.223415522522857,-0.0293953691034246,0.194020153419433,-16.3857724
239.597,29.5969,-52.79172,-106.61622,-85.4772378663291,0.169203301896571,0.338406603793141,0.169203301896571,-0.504855017486204,0.0624266849346739,-0.44242833255153,35.1925418,-3.93108,56.05468,41.4878237545076,0.137269852464789,0.274539704929578,0.137269852464789,0.198793959843625,-0.0348994328149068,0.163894527028718,-16.9889778
239.607,29.6069,-53.56626,-85.3882,-77.4567123646739,0.169467695749661,0.338935391499322,0.169467695749661,-0.458198166648153,0.0234595103661822,-0.434738656281971,36.5500656,-2.88188,55.7251,36.1392931529157,0.135785316295525,0.271570632591049,0.135785316295525,0.171293082777411,-0.0464164202011976,0.124876662576213,-17.5827684
239.617,29.6169,-54.36388,-58.63038,-68.0416815168723,0.182954251888724,0.365908503777448,0.182954251888724,-0.434535145344442,-0.0300517357988896,-0.464586881143332,37.6075124,-1.8272,55.34668,32.0282244365945,0.147041213084501,0.294082426169002,0.147041213084501,0.164391479237112,-0.0598433954898421,0.10454808374727,-18.178747
239.6293,29.6292,-54.9209,-36.36474,-60.4041901812232,0.176186862453344,0.352373724906688,0.176186862453344,-0.371490704464011,-0.0739222912844062,-0.445412995748418,38.3577528,-1.00542,58.1421,29.2299641358553,0.211819404104617,0.423638808209233,0.211819404104617,0.216123199225956,-0.106886605648441,0.109236593577515,-18.7859012
239.6393,29.6392,-54.95604,-9.4116,-56.4861128354189,0.173948463685515,0.34789692737103,0.173948463685515,-0.34298067434598,-0.142916969732395,-0.485897644078375,38.8063342,-0.46708,62.09718,28.613742029556,0.240205305922767,0.480410611845534,0.240205305922767,0.239918985873481,-0.140375077001964,0.0995439088715172,-19.4068446
239.6493,29.6492,-54.70884,17.26076,313.079882415605,0.14826360438258,0.29652720876516,0.14826360438258,1.62030614544701,0.765487610210713,2.38579375565772,38.967023,-0.03862,63.72072,28.6421723974201,0.265719529924293,0.531439059848585,0.265719529924293,0.265666499352374,-0.162683102640329,0.102983396712045,-20.0378756
