Time_s,ref_tau_L,new_tau_L,ref_tau_R,new_tau_R,err_L,err_R
64.6886,-9.614206552505493,-9.614206552505493,11.429436206817627,11.429436206817627,0.0,0.0
64.6986,-9.203058779239655,-9.203058779239655,11.52750313282013,11.52750313282013,0.0,0.0
64.7087,-8.611813187599182,-8.611813187599182,11.554553210735321,11.554553210735321,0.0,0.0
64.7186,-8.61197054386139,-8.61197054386139,11.369853615760803,11.369853615760803,0.0,0.0
64.7286,-7.891715168952942,-7.891715168952942,10.85336834192276,10.85336834192276,0.0,0.0
64.7386,-7.4666927754879,-7.4666927754879,10.948282778263092,10.948282778263092,0.0,0.0
64.7486,-7.394299507141113,-7.394299507141113,10.78382134437561,10.78382134437561,0.0,0.0
64.7587,-7.004005461931229,-7.004005461931229,10.393480360507965,10.393480360507965,0.0,0.0
64.7686,-6.73681452870369,-6.73681452870369,10.69650024175644,10.69650024175644,0.0,0.0
64.7786,-7.174850553274155,-7.174850553274155,10.764602422714233,10.764602422714233,0.0,0.0
64.7886,-7.23692312836647,-7.23692312836647,10.77344924211502,10.77344924211502,0.0,0.0
64.7986,-7.093575149774551,-7.093575149774551,10.779832005500793,10.779832005500793,0.0,0.0
64.8086,-7.103411704301834,-7.103411704301834,10.6754270195961,10.6754270195961,0.0,0.0
64.8186,-6.822758316993713,-6.822758316993713,10.685616731643677,10.685616731643677,0.0,0.0
64.8286,-6.48445799946785,-6.48445799946785,10.611806809902191,10.611806809902191,0.0,0.0
64.8386,-5.877051651477814,-5.877051651477814,10.546396672725677,10.546396672725677,0.0,0.0
64.8486,-4.927103519439697,-4.927103519439697,10.517116785049438,10.517116785049438,0.0,0.0
64.8586,-4.776236861944199,-4.776236861944199,10.45445591211319,10.45445591211319,0.0,0.0
64.8686,-2.2670694440603256,-2.2670694440603256,10.136023163795471,10.136023163795471,0.0,0.0
64.8786,-1.2986661493778229,-1.2986661493778229,10.041722059249878,10.041722059249878,0.0,0.0
64.8886,0.7494444586336613,0.7494444586336613,9.793577492237091,9.793577492237091,0.0,0.0
64.8986,1.8742084130644798,1.8742084130644798,9.453021883964539,9.453021883964539,0.0,0.0
64.9086,4.076355993747711,4.076355993747711,9.711454510688782,9.711454510688782,0.0,0.0
64.9186,5.485210865736008,5.485210865736008,9.252838790416718,9.252838790416718,0.0,0.0
